"","COMID","Order","Ct_Area","Ws_Area","FertCat","BFICat","Ws_CnDn","Ws_MnDn","Ws_DmDn","Ws_DmNr","Ct_Elev","W_NPDES","Ws_SFDn","Ws_TRI","W_B_TRI","Ct_Ag_K","Ct_Kf","Ct_NnCr","Ct_PctS","Ct_PctA","Ws_PctC","Ws_PctA","Ws_MD_1","W_NABDN","Ct_Ow","Ws_Ow","Ct_B_Cr","Ws_B_Ow","Ws_B_Bl","Ct_Ps97","Ct_Pr10","Ct_Tmx10","Ct_Tmn10","Ct_B_RD","Ct_RdCr","Ct_RdCS","Ws_RdCr","Ws_RdCS","Ct_Rnff","Ct_Om","Ct_Perm","Ct_RckD","Ct_WtDp","Ct_B_Pp","Ws_B_Pp","Ct_WtIn","Ws_WtIn","Ct_CaO","BIO17_x","HUC8_B1","PctGlTC","PctGlLC","PctGlTW","PctGlLW","PctElWs","PLLUC10","PHLUC10","PFrC100","PHGC100","PWtC100","PLLUW10","PHLUW10","PWtW100"
"9.236",879560,4,5.3244,99.5139,35.14672076,16,0,0.140683864,0.04019539,1053.57945,167.018357,0,0,0,0,0.138343475,0.37,0,0,0,0,0,0,347.0614658,0.8282623,0.5236454,4.615384615,0.109004739,0,69.66176209,1040.897641,18.23577103,12.90255017,2.311206607,0.187814589,0.000444228,0.502442372,0.003234191,276,0.454901961,2.531724138,152.4,136.4489655,38.06417974,22.09807941,808.887593,840.680097,9.910495,176,259.8002287,100,0,100,0,0,6.153846154,1.098901099,49.45054945,23.73626374,14.94505495,4.990521327,0.085308057,0.748815166
"9.241",879570,4,0.927,233.4078,41.48058252,17,0,0.004284347,0.04284347,5107.620311,153.7979806,0,0,0,0,0.138728155,0.309873786,0,0,0,0,0,0.004284347,832.3333668,0,0.4025572,12.85140562,0.103080175,0.029701067,58.53484572,1051.161231,18.47558659,13.06480085,1.335324654,0,0,0.595524228,0.004895151,276,0.711417476,3.305087379,152.4,140.4333786,49.15504787,33.89472659,778.7291262,832.2331516,30.83685,171,259.8002287,43.2038835,0,99.67301864,0,0.326981361,2.008032129,0,62.24899598,0,22.89156627,6.892394779,0.122298513,2.058109265
"9.250",879588,4,0.2097,237.5397,29.85407725,17,0,0.004209823,0.042098226,5018.775472,136.5367811,0,0,0,0,0.09527897,0.3,0,0,0,0,0,0.004209823,817.855289,0,0.3955549,31.77570093,0.101113967,0.029134533,36.87713125,1052.911425,18.5737814,13.13888908,1.161689679,0,0,0.589375165,0.004867359,276,0.500257511,3.318626609,152.4,160.4223605,49.15504787,33.91812421,822.3905579,830.7794327,29.1927,171,259.8002287,0,0,98.58259483,0,1.417405175,0,0,42.05607477,0,26.1682243,6.791773779,0.119965724,2.399314482
"9.257",879602,4,0.2844,238.5135,12.49367089,17,0,0.004192635,0.041926348,4998.284877,142.2379747,0,0,0,0,0.049177215,0.345411392,0,0,0,0,0,0.004192635,814.5161595,0,0.39394,2.127659574,0.100214016,0.028875225,22.807946,1051.839155,18.50439663,13.09303254,0.836887002,0,0,0.586968872,0.004847487,276,0.48,3.32,152.4,162.45,49.15504787,34.05373837,781.278481,830.4178518,29.11626,171.5,259.8002287,0,0,98.377073,0,1.622927004,0,0,70.21276596,7.092198582,20.56737589,6.809457486,0.118897986,2.549512518
"9.260",879608,4,0.0621,239.7231,0,17,0,0.00417148,0.041714795,4973.064423,133.1443478,0,0,0,0,0,0.37,0,0,0,0,0,0.00417148,810.4062562,0,0.3919522,0,0.099432058,0.028649915,16.49742889,1052.504272,18.55165482,13.13325882,0.836887002,0,0,0.588178611,0.004942912,276,0.48,3.32,152.4,162.45,49.15504787,34.1715722,881.4202899,829.9247407,29.11626,172,259.8002287,0,0,98.12696398,0,1.873036015,0,0,59.09090909,11.36363636,29.54545455,6.847329659,0.117970238,2.55995416
"9.280",879656,4,0.1377,93.3048,66.96732026,17,0,0,0.021435124,3172.775677,143.4937909,0,0,0,0,0.263594771,0.37,0,0,0,0,0,0,0,0,0.9192453,57.31707317,0.122128799,0,77.39547475,1044.150314,18.37157221,13.0987215,2.119590521,0,0,0.621618609,0.005017695,276,0.44,2.55,152.4,138.22,40.78115452,46.88791409,954.2222222,802.458089,12.06018,176,259.8002287,100,0,100,0,0,0,0,25.6097561,0,17.07317073,6.43524825,0.075156184,1.460848325
"9.285",879668,4,5.2065,270.3366,23.86292135,17.2741573,0,0.003699092,0.048088198,5787.85625,145.3419257,0,0,0.003699092,0,0.083457217,0.319367329,0,0,0,0,0,0.003699092,2096.586478,0.8297321,0.4424484,22.16748768,0.180293053,0.025974423,35.06620208,1054.905004,18.51308269,13.10219367,1.427144809,0.192067608,1.92e-06,0.573359286,0.004986311,276,1.183716508,3.272318064,152.4,92.05358168,70.87635813,45.80221171,778.4121003,826.3544315,32.76188,171,259.8002287,0,20.65687122,90.0643864,0.397837363,9.537776239,13.652357499,0.422237861,34.90499648,0.140745954,28.71217452,7.961924552,0.299469816,3.100123761
"9.290",879678,4,7.7256,109.8063,38.06430569,16.01234856,0,0.127497238,0.036427782,954.8249964,158.4176596,0,0,0,0,0.149827586,0.37,0,0,0,0,0,0,314.530587,0.3844362,0.5147246,23.65296804,0.100370936,0,54.75307951,1043.543356,18.28683441,12.97349463,0.733603523,0,0,0.473561171,0.003126693,276,0.44,2.55,152.4,138.22,38.06417974,23.41232038,796.9912628,837.1133623,11.10345,176,259.8002287,100,0,100,0,0,0.913242009,0,46.75799087,4.840182648,23.83561644,4.848352607,0.078551167,1.845952433
"9.296",879698,4,1.962,101.7567,41.13577982,17,0,0,0.039309451,5079.057399,149.8605413,0,0,0,0,0.161917431,0.37,0,0,0,0,0,0,0,3.53211,0.9817535,17.23356009,0.134630418,0,60.84640652,1044.509331,18.37742837,13.12268885,2.08450693,0.509683996,0.000340153,0.628951214,0.004855103,276,0.830793578,2.824357798,152.4,106.6440872,40.78115452,46.42724175,857.903211,805.2977809,12.06018,176.25,259.8002287,100,0,100,0,0,7.256235828,3.628117914,34.46712018,7.256235828,30.15873016,6.497003388,0.138973334,1.932597933
"9.297",879702,4,0.3087,103.0887,25.76093294,17,0,0,0.038801537,5013.431346,140.716414,0,0,0,0,0.101399417,0.37,0,0,0,0,0,0,0,0,0.9769257,0,0.131495228,0,94.3095787,1045.214164,18.39753551,13.15547813,2.481741388,0,0,0.620824591,0.004792371,276,0.700845481,3.117084548,152.4,134.541516,40.78115452,46.29575917,927.2361516,805.3361445,12.06018,176,259.8002287,100,0,100,0,0,27.118644067,0,10.16949153,56.77966102,5.93220339,6.731707317,0.16542948,1.91728526
"9.314",879746,4,0.9243,117.1962,30.93670886,17,0,0,0.034130799,4409.93923,144.2407205,0.0085327,0,0,0,0.121772152,0.37,0,0,0,0,0,0,0,0,0.8800627,12.95774648,0.117143171,0.611340923,114.3656598,1045.408445,18.39155756,13.16028254,2.063191098,1.081899816,0.001230726,0.674083289,0.005404983,276,0.625014606,3.158237585,152.4,140.9173418,40.78115452,67.6463904,846.7760467,804.2172895,12.04538,176.75,259.8002287,97.27361246,0,99.02701623,0,0.972983766,9.014084507,0,31.54929577,12.11267606,34.36619718,8.657612476,0.194018377,2.145184317
"9.318",879754,4,3.3858,114.9669,53.82137161,16.0148857,0,0.12177418,0.034792623,911.965096,146.3542982,0,0,0,0,0.21185008,0.37,0,0,0,0,0,0,300.4120316,0.1860712,0.5213675,26.8488746,0.11222878,0,88.51676663,1046.758151,18.36911811,13.08561958,1.355395379,0.590702345,0.001053435,0.478398565,0.003099943,276,0.454109516,2.833684211,152.4,147.1468421,139.7282319,26.7368742,862.5313663,837.5919321,12.06018,177,259.8002287,100,0,100,0,0,15.273311897,1.446945338,16.88102894,13.66559486,25.88424437,5.241499709,0.11222878,2.489816277
"9.322",879764,4,0.8073,122.5179,39.9264214,17,0,0,0.032648291,4218.38866,141.4727648,0.008162073,0,0,0,0.157157191,0.37,0,0,0,0,0,0,0,0,0.8499166,27.35849057,0.113086193,0.607838287,101.5736244,1045.753629,18.38782507,13.16207478,0.345967861,0,0,0.652965812,0.005224252,276,0.477045708,3.179085842,152.4,157.6373802,66.0963342,66.9056365,842.2352285,805.515261,12.72547,177,259.8002287,33.11036789,0,98.03498101,0,1.965018989,0,0,17.45283019,0,55.18867925,8.668763473,0.233240273,2.668127363
"9.326",879784,4,4.9725,147.5676,10.49737557,16.7761086,0,0.169413882,0.027106221,710.4933603,150.5856181,0,0,0,0,0.041319457,0.37,0,0,0,0,0,0,234.0448716,0.09049774,0.4757142,16.9047619,0.127919181,0.013119916,30.05885362,1049.647339,18.3677613,13.07878476,3.12178901,0,0,0.521794757,0.003260808,276,0.65439638,3.318354751,152.4,153.6742425,610.670706,73.30839066,849.5771946,850.3964956,12.06018,177.4,259.8002287,79.52941176,0,99.05223098,0,0.947769022,15.952380955,5,10.23809524,1.428571429,50.47619048,7.953949095,0.413277355,3.33901863
"9.329",879790,4,1.5138,137.2356,20.39833532,17,0,0.043720434,0.036433695,4314.26248,140.6106421,0.007286739,0,0,0,0.08029132,0.37,0,0,0,0,0,0,0,0,0.806642,16.59482759,0.099209425,0.533250659,34.90733159,1046.053231,18.38140427,13.14726507,6.792803507,0,0,0.728673901,0.005876215,276,0.70803805,2.966920333,152.4,123.7940547,276.0218964,99.81065608,879.8454221,804.5895766,18.87241,177,259.8002287,0,0,87.9528344,0,12.0471656,22.413793102,8.189655173,18.10344828,1.724137931,32.97413793,11.343977678,0.930088358,3.258409549
"9.332",879802,4,4.3812,156.5802,22.55382087,16.93344289,0,0.159662588,0.025546014,669.5980718,149.0826417,0,0,0,0,0.088775678,0.37,0,0,0,0,0,0,220.5734825,0,0.4483325,12.04819277,0.123032272,0.012618695,39.19945078,1046.804578,18.3614294,13.10188606,6.870236604,0.228247969,2.28e-06,0.5428528,0.003331363,276,0.472892358,3.183968776,152.4,158.169433,246.3388591,81.08424619,864.4811011,850.4575751,12.06018,177.5,259.8002287,44.72062449,0,97.38932509,0,2.610674913,22.89156626,24.698795181,13.25301205,0,27.10843373,8.665888514,0.555222562,3.817155115
"9.341",879834,4,4.2291,145.2402,2.040434135,17,0,0.041310877,0.041310877,4518.111101,144.5815493,0.006885146,0,0,0,0.008031496,0.37,0,0,12.00255373,0,0.810519402,0.006885146,0,0.1276867,0.7659037,2.037037037,0.094175814,0.506195003,6.605577188,1046.145552,18.36297619,13.13096619,4.82486279,0.236456929,0.000456598,0.791791804,0.006568659,276,0.76299851,2.9684103,152.4,118.1951756,332.2162123,118.5614232,846.7539902,805.8322634,20.59859,177,259.8002287,0,0,83.10550385,0,16.08397675,28.14814815,21.111111109,14.44444444,0,34.25925926,12.669590041,3.060713971,3.637540834
"9.342",879836,4,6.309,166.1697,9.158630528,17,0,0.156466552,0.024071777,630.9561852,143.2974893,0,0,0,0,0.036049929,0.37,0,0,0,0,0,0,207.8443904,0.09985735,0.426251,2.494331066,0.117452191,0.012046379,10.77304752,1048.023277,18.37452357,13.13131031,7.032536216,0.475511175,0.000759116,0.55966882,0.003441027,276,0.779012839,2.997109843,152.4,118.250214,252.0942878,94.98217929,839.7169757,849.9838761,15.23976,177.285714285714,259.8002287,0,0,91.88444103,0,8.115558974,32.426303858,3.854875284,23.1292517,2.494331066,35.60090703,10.085830447,0.662550821,4.68001807
"9.351",879882,5,2.0538,313.4637,1.812445223,17,0,0.102085186,0.031901621,2427.89567,140.7070508,0.003190162,0,0,0,0.006612621,0.359417178,0,0,53.37423313,0,0.725251441,0.003190162,110.1800304,0,0.5808328,0,0.104896138,0.26002423,6.314470113,1045.835536,18.37787821,13.1522347,8.186246173,0.973804655,0.001357854,0.669934031,0.004876534,276,1.295008764,2.63295355,152.4,51.15241017,440.0708145,109.3785629,825.6682734,829.3673631,38.02182,177,259.8002287,0,0,87.21478755,0,12.05996101,50.99601594,8.964143426,3.386454183,3.386454183,33.266932271,11.686316224,1.928020566,4.368702538
"9.356",879898,5,0.3087,318.6189,0,17,0,0.100433465,0.037662549,5063.704131,128.3144023,0.012554183,0.003138546,0.012554183,0,0,0.26819242,0,0,51.89504373,0,1.980955932,0.003138546,108.3973361,12.53644,0.6084385,0,0.106516474,0.25680684,52.5090744,1045.063723,18.4430695,13.20174988,1.516060214,6.478781989,0.008257208,0.671648794,0.004826721,276,1.66,3.24,152.4,44.34,148.7487253,110.812495,874.271137,829.4393242,13.97239,178,259.8002287,0,0,85.80366701,0,12.10408422,31.372549015,2.745098039,7.843137255,0,58.039215687,12.011556308,2.33606677,4.597717921
"9.362",880464,8,0.2736,444013.2306,0,20,0.02706397,0.058624379,0.010790219,33111.2222,132.4875,0.001094562,0.001243206,0.012479358,0.006463845,0,0.155526316,0,0,0,0.640294189,4.72501647,0.001290502,37225.55944,66.44737,2.941178,0,0.362362691,0.067968007,0.047503305,1045.646108,18.61427005,12.85411728,3.661955749,0,0,0.388576259,0.002425945,276,0.48,3.32,152.4,162.45,9.834301574,32.61485528,1202.6875,915.4427171,12.07417,169,259.8002287,0,0,64.7776787,18.173778217,1.959947291,38.461538459,11.53846154,0,0,50,6.342931641,0.714792306,11.91340896
"9.364",880468,8,1.6479,444018.5244,0,20,0.02706364,0.05862368,0.01079009,33110.82743,137.442414,0.001094549,0.001243191,0.012479209,0.006463707,0,0.248405243,0,0,0,0.640501411,4.724960136,0.001290487,37225.11561,28.67286,2.941256,0,0.362354937,0.067966552,0.269476471,1046.031681,18.62594337,12.85707163,1.32828021,0,0,0.388591895,0.002426328,276,0.733012048,3.023874346,152.4,135.9213717,8.615370013,32.61437641,1036.488804,915.4411154,6.631231,169,259.8002287,0,0,64.776906391,18.173561536,1.960608221,9.726443769,0.607902736,0,0,89.665653496,6.343132209,0.714789215,11.913954089
"9.366",880472,8,0.1467,444022.0209,0,20,0.02706343,0.058623219,0.010792258,33110.92227,127.5644172,0.00109454,0.001243182,0.012479111,0.006463623,0,0.216503067,0,0,0,0.640644333,4.724922928,0.001290477,37225.17806,93.86503,2.941283,0,0.362350265,0.067965676,3.057469296,1047.232087,18.65657914,12.88801669,8.583580017,0,0,0.388597844,0.002426548,276,0.884907975,2.73595092,152.4,110.127546,9.522217151,32.61410252,1587.116564,915.4395303,12.69414,169,259.8002287,0,0,64.77639629,18.173418426,1.961185049,0,40,0,0,60,6.343179231,0.714807117,11.913843844
"9.368",880480,8,0.1728,444023.604,0,20,0.02706333,0.05862301,0.010792219,33110.80422,129.9458854,0.001094536,0.001243177,0.012479066,0.006463576,0,0.297291667,0,0,0,0.640841903,4.724906082,0.001290472,37225.04534,75.52083,2.941312,0,0.362347636,0.067965183,4.268274213,1047.649536,18.66466522,12.90373707,8.583580017,0,0,0.388616728,0.002427453,276,0.64875,3.035625,152.4,136.9740625,11.39472369,32.61394858,1356.96875,915.4389046,28.13515,169,259.8002287,0,0,64.77616534,18.173353632,1.961277578,66.66666667,33.33333333,0,0,0,6.343243049,0.714884647,11.913757414
"9.370",880484,9,0.8793,444031.4556,0,20,0.02706286,0.058621973,0.010792028,33110.21874,134.3998976,0.001094517,0.001243155,0.012478846,0.006463418,0,0.197717503,0,0,0,0.641001641,4.725189806,0.001290449,37224.38711,83.72569,2.942208,0,0.36234145,0.067974362,2.215391416,1049.06455,18.66273297,12.957868,2.416687727,0,0,0.388612108,0.002427486,276,1.22010989,2.412413793,152.4,81.14324138,9.404620122,32.61338299,1335.252815,915.4442688,14.35447,169,259.8002287,0,0,64.775019932,18.173032281,1.961389847,13.04347826,20.28985507,2.898550725,0,63.76811595,6.343248641,0.714940314,11.914694712
"9.371",880486,9,0.8406,444035.3589,0,19.33832976,0.02706262,0.058621458,0.010794185,33110.01102,137.523576,0.001094507,0.001243144,0.012478736,0.006463302,0,0.122012848,0,0,0,0.641024585,4.725148269,0.001290438,37224.14322,78.69379,2.942393,0,0.362334945,0.067973141,1.807151583,1050.128861,18.55109314,12.9666682,2.590035183,0,0,0.388610944,0.002427517,276,0.48,3.32,152.4,162.45,11.02951851,32.6130016,1067.947537,915.4427896,19.43683,170,259.8002287,0,0,64.774450526,18.172872538,1.961914387,32.9787234,42.553191487,12.76595745,0,11.70212766,6.343237814,0.715129515,11.914495727
"9.373",880490,9,0.5805,444035.9394,0,19,0.02706258,0.058621381,0.010794171,33109.96773,131.071938,0.001094506,0.001243143,0.01247872,0.006463299,0,0.04524031,0,0,0,0.641023747,4.725142091,0.001290436,37224.09456,91.78295,2.942509,0,0.362334792,0.067973113,2.246119667,1051.214782,18.60253034,13.0103306,2.403804064,0,0,0.388610436,0.002427514,276,0.48,3.32,152.4,162.45,11.39472369,32.61299268,1496.728682,915.4435496,18.0934,170,259.8002287,0,0,64.774365853,18.172848778,1.961911822,25.80645161,54.83870968,19.35483871,0,0,6.343245995,0.715152264,11.914490719
"9.374",880494,8,0.9675,369509.3874,0,20,0.02001894,0.007177084,0.010949654,36077.73682,127.731107,0.000806475,0.000738817,0.008327258,0.005316071,0,0.052130233,0,0,0,0.662749982,4.394891592,0.001160999,41300.3958,82.88372,3.236307,0,0.399795055,0.067867543,0.513546858,1047.535101,18.68720294,12.90116943,3.180016279,0,0,0.372250353,0.002489883,276,1.68,1.92,152.4,37.03,8.382746118,24.63603493,1488.472558,906.7819424,1.115268,169,259.8002287,0,0,63.424291311,18.687420198,1.226179755,10.46511628,0,5.23255814,0,80.81395349,5.802918252,0.53754027,13.230616058
"9.375",880512,9,0.4599,444073.8582,0,19,0.02706027,0.058616375,0.01079325,33107.14052,134.3786888,0.001094413,0.001243036,0.012477654,0.00646251,0,0.062896282,0,0,0,0.640969011,4.729956333,0.001290326,37220.91605,83.17025,2.943079,0,0.362419374,0.067964818,3.468497258,1054.307809,18.56543188,13.0821547,1.693366428,0,0,0.388615535,0.002427678,276,0.48,3.32,152.4,162.45,38.41039627,32.6104302,1002.843444,915.4515714,32.08693,170,259.8002287,0,0,64.768834859,18.17129702,1.963155076,4.444444444,75.55555555,20,0,0,6.343083363,0.715397156,11.916873591
"9.376",880526,4,0.7299,314.8416,0.329223181,18.56596794,0,0.0031762,0.041290605,4969.703432,134.9633539,0,0,0.0031762,0,0.001060419,0.30027127,0,0,0,0,0,0.0031762,1800.21973,6.288533,0.4353618,0,0.17980102,0.02264161,8.373236341,1057.221269,18.52036516,13.11060922,2.693295002,2.740101384,2.74e-05,0.606654267,0.005538536,276,1.288976572,3.263378545,152.4,78.85549938,36.97059964,44.65029213,835.6855734,814.9771428,42.18549,171,259.8002287,0,47.10234279,78.7052918,3.140436334,17.89614206,40.43478261,25.217391301,8.260869565,0,25.2173913,8.237550444,0.43019059,3.791803737
"9.378",880530,4,0.1872,315.0333,0,18.07692308,0,0.003174268,0.041265479,4966.679332,148.9883173,0,0,0.003174268,0,0,0.321538462,0,0,0,0,0,0.003174268,1799.124283,8.653846,0.4405249,0,0.179714852,0.022630759,6.51360598,1056.571116,18.51392754,13.11949687,3.013732836,0,0,0.606285113,0.005535165,276,0.587788462,3.312692308,152.4,151.6611058,36.97059964,44.64661172,787.4038462,814.9638695,40.794,171,259.8002287,0,6.25,78.65739908,3.142239249,17.90353591,3.125,3.125,0,0,93.75,8.236265126,0.431315646,3.833916852
"9.379",880532,4,0.5535,444496.9275,0,18.76585366,0.02703452,0.058562834,0.010812223,33079.14945,133.9497073,0.001093371,0.001241853,0.012468028,0.006454554,0,0.295495935,0,0,0,0.64035894,4.745077163,0.001291348,37186.76454,49.26829,2.942616,0,0.36218713,0.067989471,3.074826632,1056.534416,18.53516231,13.12597758,3.232979774,0,0,0.388724847,0.00242976,276,0.48,3.32,152.4,162.45,36.97059964,32.61825181,1029.700813,915.4111286,38.12012,171,259.8002287,0,0,64.762936043,18.156600685,1.974870075,5.769230769,16.34615385,2.884615385,0,74.999999998,6.34522402,0.715651133,11.910615173
"9.380",880536,9,2.9889,444080.5209,0,19,0.02705987,0.058615496,0.010793088,33106.64381,152.6126498,0.001094396,0.001243018,0.012477467,0.006462375,0,0.2088648,0,0,0,0.640959394,4.729885368,0.001290307,37220.35761,52.15297,2.943401,0,0.362411792,0.067963396,4.342069899,1056.567843,18.48546264,13.01517704,3.934843813,0,0,0.388632223,0.002428103,276,0.48,3.32,152.4,162.45,26.93816708,32.61048152,831.2366757,915.4487974,33.99267,170.75,259.8002287,0,0,64.767863116,18.171024391,1.964021001,13.333333329,40.238095236,12.38095238,0,34.04761905,6.343360106,0.715676387,11.916834441
"9.382",880542,9,0.4833,444181.3218,0,18.70577281,0.02705372,0.058602194,0.010790638,33099.1307,127.6417505,0.001094148,0.001242736,0.012474635,0.006461135,0,0.15452514,0,0,0,0.640813937,4.7484487,0.001290014,37211.91096,89.01304,2.944329,0,0.362373448,0.068035754,4.02863172,1057.561463,18.5311049,13.10694448,2.772339741,0,0,0.388571044,0.00242756,276,1.644920128,3.240551724,152.4,45.15455172,36.97059964,32.60599797,1332.337058,915.4822079,46.10207,172,259.8002287,0,16.20111732,64.753164921,18.167272941,1.963575293,0,0,0,0,100,6.343299499,0.715918636,11.918747745
