PU_Gap_Code,Reach_Name,Event_Date,Site_Type,DS_Width,DS_Depth,MD_Width,MD_Depth,US_Width,US_Depth,Mean_Width,Mean_Depth,Reach_Length,Number_Units,L_Buffer_Width,R_Buffer_Width,L_Bare_Bank,R_Bare_Bank,Dominant_Substrate,Subdominant_Substrate,Shading,Riffle_Unit_Number,Pool_Percent,Glide_Percent,Run_Percent,Riffle_Percent,Metric1_BufferBare,Metric2_Substrate,Metric3_Shade,Metric4_Riffles,Metric5_Wood,IHI_Score,Substrate_Score,Cover_Score,Channel_Score,Riparian_Score,Pool_Score,Riffle_Score,Gradient_Score,QHEI_Score,Water_Temperature,DO,DO_Saturation,Conductivity,pH,Nitrate,Ammonia,Orthophosphate,Turbidity,Visual_Water_Clarity,Chloride,Chloride_QU
kasky12,Copper 12,7/14/17,student_project,5,0.47,5.1,0.17,7.7,0.16,5.93,0.26,91,30,None <1m,None <1m,Intermediate,Intermediate,Cobble (64-265mm),Gravel (8-64mm),0,1,0,0,80,20,2,5,1,1,1,10,16.5,11,10,4,2,5,6,54.5,24.1,10.94,131,659,8.83,,,,,50,52,2
kasky272,Copper 13,8/23/16,student_project,11,0.18,11,0.38,9,0.82,10.33,0.46,200,8,Very Narrow 1-5m,Very Narrow 1-5m,Abundant,Abundant,Sand (0.062-2mm),Silt ( <0.062mm),50,1,60,0,30,10,4,1,3,5,5,18,4.5,14,15,4,9,4,2,52.5,,,,,,,,,,50,,
kasky176,Copper 14,8/23/16,copper,7,0.52,5,0.49,5,0.35,5.66,0.45,110,4,Narrow 5-10m,Narrow 5-10m,Abundant,Abundant,Sand (0.062-2mm),Silt ( <0.062mm),75,0,65,0,35,0,5,1,4,1,5,16,4.5,12,14,5,3,1,4,43.5,,,,,,,,,,50,,
kasky176,Copper 14,7/26/17,copper,6.1,0.78,4.9,0.35,4.9,0.62,5.3,0.58,105,4,Moderate 10-50m,Moderate 10-50m,Abundant,Abundant,Gravel (8-64mm),Sand (0.062-2mm),75,0,75,0,25,0,5,5,4,3,3,20,10.5,14,16,6,5,1,4,56.5,22.6,5.96,70.3,643,8.71,,,,,50,28,1
kasky15,Copper 15,9/2/16,copper,5,0.55,5,0.24,4,0.36,4.66,0.38,183,1,Very Narrow 1-5m,Very Narrow 1-5m,None,None,Sand (0.062-2mm),Silt ( <0.062mm),0,0,0,0,100,0,9,1,1,1,1,5,5.5,10,9,3,1,2,4,34.5,,,,,,,,,,50,,
kasky15,Copper 15,7/13/17,copper,4.5,0.36,5,0.27,5.5,0.28,5,0.3,183,1,Very Narrow 1-5m,Very Narrow 1-5m,None,None,Clay/Hardpan,Silt ( <0.062mm),0,0,0,0,100,0,1,2,1,1,1,6,3.5,10,5,4,1,1,4,28.5,25,3.07,37.3,683,8.37,,,,,50,49,2
kasky14,Copper 2,8/3/16,copper,8,0.34,7,0.25,7,0.19,7.33,0.26,140,1,None <1m,None <1m,None,None,Cobble (64-265mm),Gravel (8-64mm),0,0,0,0,100,0,1,5,1,1,1,9,15.5,14,11,4,1,0,6,51.5,,,,,,,,,,50,,
kasky14,Copper 2,7/24/17,copper,8.1,0.3,7,0.31,6.9,0.37,7.33,0.32,150,1,None <1m,None <1m,None,None,Gravel (8-64mm),Sand (0.062-2mm),0,0,0,0,100,0,1,5,1,1,1,9,13,9,9,4,1,2,6,44,26.5,18.06,232,463,9.02,,,,,50,46,2
kasky14,Copper 3,8/8/16,copper,7,0.27,7,0.25,,0.51,7,0.34,140,1,Very Narrow 1-5m,Very Narrow 1-5m,Sparse,Sparse,Gravel (8-64mm),Sand (0.062-2mm),0,0,0,0,100,0,2,5,1,1,1,10,13.5,12,10,4,2,0,6,47.5,,,,,,,,,,50,,
kasky14,Copper 3,7/13/17,copper,6.6,0.33,6.3,0.34,4,0.55,5.63,0.4,600,3,Narrow 5-10m,Narrow 5-10m,Intermediate,Intermediate,Gravel (8-64mm),Clay/Hardpan,0,1,10,0,80,10,4,3,1,1,1,10,10.5,9,12,5,9,4,6,55.5,23.5,9.64,114.6,684,8.72,,,,,50,74,3
kasky19,Copper 4,8/8/16,copper,9,0.43,10,0.3,9,0.48,9.33,0.4,190,1,Very Narrow 1-5m,Very Narrow 1-5m,None,None,Gravel (8-64mm),Silt ( <0.062mm),0,0,0,0,100,0,1,1,1,1,1,5,7.5,7,9,4,2,0,4,33.5,,,,,,,,,,50,,
kasky19,Copper 4,7/13/17,copper,9.3,0.39,10.1,0.35,9.2,0.53,9.53,0.42,180,1,Narrow 5-10m,Narrow 5-10m,None,None,Gravel (8-64mm),Sand (0.062-2mm),0,0,0,0,100,0,2,5,1,1,1,10,13,10,10,5,1,3,4,46,26.3,10.11,126.2,678,8.69,,,,,50,66,2
kasky39,Copper 5,8/9/16,copper,4,0.51,3,0.35,3,0.27,3.33,0.37,105,2,Narrow 5-10m,Narrow 5-10m,None,None,Clay/Hardpan,Silt ( <0.062mm),0,0,10,0,90,0,2,2,1,1,1,7,2.5,18,9,5,3,0,4,41.5,,,,,,,,,,50,,
kasky39,Copper 5,7/24/17,copper,2.4,0.15,3,0.32,1.7,0.12,2.36,0.19,100,1,Very Narrow 1-5m,Very Narrow 1-5m,Sparse,Sparse,Sand (0.062-2mm),Silt ( <0.062mm),0,0,0,0,100,0,2,1,1,1,1,6,5,5,6,4,1,1,4,26,25.5,5.99,74.9,682,8.65,,,,,50,31,1
kasky52,Copper 6,8/9/16,copper,5,0.29,5,0.28,5,0.41,5,0.32,100,1,Narrow 5-10m,Moderate 10-50m,None,None,Sand (0.062-2mm),Silt ( <0.062mm),0,0,0,0,100,0,3,1,1,1,1,7,5,16,9,5.5,1,0,4,40.5,,,,,,,,,,50,,
kasky52,Copper 6,7/24/17,copper,4.8,0.3,5.6,0.35,4.5,0.41,4.96,0.35,100,1,Very Narrow 1-5m,Narrow 5-10m,Sparse,Sparse,Sand (0.062-2mm),Silt ( <0.062mm),0,0,0,0,100,0,3,1,1,1,1,7,5,5,7,4.5,1,2,4,28.5,24.7,8.25,101.4,625,8.99,,,,,50,28,1
kasky46,Copper 7,8/10/16,copper,10,0.28,9,0.5,9,0.42,9.33,0.4,190,1,Narrow 5-10m,Moderate 10-50m,None,None,Gravel (8-64mm),Sand (0.062-2mm),0,0,0,0,100,0,3,5,1,1,1,11,12.5,12,9,5.5,2,0,2,43,,,,,,,,,,50,,
kasky46,Copper 7,7/17/17,copper,9.8,0.36,9.4,0.55,9.9,0.44,9.7,0.45,213,1,Narrow 5-10m,Narrow 5-10m,Intermediate,Intermediate,Gravel (8-64mm),Clay/Hardpan,0,0,0,0,100,0,4,4,1,1,1,11,9.5,11,9,5,1,2,2,39.5,23,8.57,101,730,9.14,,,,,50,66,2
kasky7,Copper 8,8/10/16,copper,2,0.16,3,0.2,1,0.34,2,0.23,100,6,Narrow 5-10m,Narrow 5-10m,None,None,Gravel (8-64mm),Silt ( <0.062mm),0,1,10,0,85,5,2,1,1,3,1,8,7,18,9,5,4,0,10,53,,,,,,,,,,50,,
kasky7,Copper 8,7/7/17,copper,1.5,0.19,2.6,0.17,1.4,0.22,1.83,0.19,100,3,Very Narrow 1-5m,Very Narrow 1-5m,None,None,Gravel (8-64mm),Sand (0.062-2mm),0,0,20,0,80,0,1,4,1,1,1,8,13,10,8,6,3,2,10,52,18.7,10.61,112.9,745,8.08,,,,,50,<28,1
kasky43,Copper 9,8/11/16,copper,5,0.34,7,0.49,6,0.55,6,0.46,130,1,Narrow 5-10m,Very Narrow 1-5m,None,None,Clay/Hardpan,Silt ( <0.062mm),0,0,0,0,100,0,2,2,1,1,1,7,2.5,12,7,5,1,0,4,31.5,,,,,,,,,,50,,
kasky43,Copper 9,7/31/17,copper,4.7,0.33,6.3,0.47,6.6,0.46,5.86,0.42,110,1,Very Narrow 1-5m,Very Narrow 1-5m,None,None,Clay/Hardpan,Silt ( <0.062mm),0,0,100,0,0,0,1,2,1,1,1,6,3.5,6,6,5,1,1,4,26.5,24.1,,,544,8.7,,,,,50,<28,1
kasky12,CTAP copper SI.,6/24/13,random,4.9,0.38,5.2,0.25,5.8,0.14,5.3,0.25,105,3,None <1m,Very Narrow 1-5m,None,None,Gravel (8-64mm),Sand (0.062-2mm),25,1,5,0,75,20,1,5,2,5,2,15,15,6,8,4,3,4,6,46,21,7.39,80.6,594,7.75,3.7,1,0.45,14,50,,
kasky969,Glenn Shoals Res 1,6/19/17,student_research,2.9,0.54,1.6,0.41,2.1,0.51,2.2,0.48,100,1,Moderate 10-50m,Narrow 5-10m,Sparse,Sparse,Clay/Hardpan,Silt ( <0.062mm),0,0,0,0,100,0,4,2,1,1,1,9,3,9,8,5.5,1,2,4,32.5,22,6.05,70.5,300,7.56,2.1,0,0,65,50,,
kasky2911,Highland Mainstem 1,8/2/17,student_research,3.3,2.5,1.3,0.11,4.5,0.29,3.03,0.96,100,7,Moderate 10-50m,Moderate 10-50m,Abundant,Abundant,Sand (0.062-2mm),Clay/Hardpan,50,2,15,0,75,10,5,5,3,5,4,22,10.5,6,14,5.5,6,2,8,52,22.2,,,1390,8.62,9.5,0.01,2.62,15,50,,
kasky1009,kasky1009,7/10/18,random,4.4,0.48,5.2,0.4,3,0.37,4.2,0.416666667,100,1,Narrow 5-10m,Narrow 5-10m,None,None,Sand (0.062-2mm),Gravel (8-64mm),0,0,0,0,100,0,5,5,1,1,1,13,12,2,7,5,1,0,8,35,28.6,8.05,109.4,501,8.71,0.8,0,0.95,14,50,,
kasky1199,kasky1199,8/4/15,random,7,0.41,9,0.38,13,1.1,9.66,0.63,120,7,Very Narrow 1-5m,Narrow 5-10m,Abundant,Abundant,Sand (0.062-2mm),Clay/Hardpan,50,0,15,0,85,0,5,5,3,1,1,15,7.5,9,15,4,7,0,6,48.5,24,5.05,60.9,615,8.15,0.5,0.1,0.16,25,20,,
kasky12,kasky12,6/24/13,random,6,0.24,9,0.28,11,0.15,8.66,0.22,160,3,Very Narrow 1-5m,Very Wide >100m,Abundant,Abundant,Cobble (64-265mm),Sand (0.062-2mm),50,1,0,0,90,10,5,4,3,5,2,19,13,13,15,7,3,5,4,60,25.7,7.19,90.1,556,8.47,0,0,0,82,15,,
