Type,NAWQA,NRSA,WSA,DRAINAGE,SLOP_PCT,ELEV_AVG,ELEV_MIN,ELEV_MAX,ELEV_RNG,ECO3_39,ECO3_45,PPTAVG_C,PPTAVG_B,T_AVG_C,T_AVG_B,T_MIN_B,T_MAX_B,C_Mnprecp,Mnprecip,WD_JAN,WD_MAR,WD_APR,WD_JUL,WD_AUG,Wetdays,ET,PET_B,FST32F_B,LST32F_B,TOPWET,RF,PERHOR,Wat_Tab,CLAYAVE,SANDAVE,KFACT_UP,NO10_AV,BDAVE,MgO_PCT,RECHARGE,Year,DoY,CHIRNTAX,CHIRPIND,CHIRPTAX,CRUSNTAX,CRUSPIND,CRUSPTAX,DIPTNTAX,DIPTPIND,DIPTPTAX,EPHENTAX,EPHEPIND,EPHEPTAX,EPOTNTAX,EPOTPIND,EPOTPTAX,EPT_NTAX,EPT_PIND,EPT_PTAX,MOLLNTAX,MOLLPIND,MOLLPTAX,NOINNTAX,NOINPIND,NOINPTAX,ODONNTAX,ODONPIND,ODONPTAX,OLLENTAX,OLLEPIND,OLLEPTAX,ORTHNTAX,ORTHPIND,ORTHPTAX,PLECNTAX,PLECPIND,PLECPTAX,TANYNTAX,TANYPIND,TANYPTAX,TRICNTAX,TRICPIND,TRICPTAX,ORTHCHIRPIND,COFINTAX,COFIPIND,COFIPTAX,COFITRICNTAX,COFITRICPIND,COFITRICPTAX,COGANTAX,COGAPIND,COGAPTAX,PREDNTAX,PREDPIND,PREDPTAX,SCRPNTAX,SCRPPIND,SCRPPTAX,SHRDNTAX,SHRDPIND,SHRDPTAX,BURRNTAX,BURRPIND,BURRPTAX,CLMBNTAX,CLMBPIND,CLMBPTAX,CLNGNTAX,CLNGPIND,CLNGPTAX,SPWLNTAX,SPWLPIND,SPWLPTAX,SWIMNTAX,SWIMPIND,SWIMPTAX,FACLNTAX,FACLPIND,FACLPTAX,INTLNTAX,INTLPIND,INTLPTAX,NTOLNTAX,NTOLPIND,NTOLPTAX,STOLNTAX,STOLPIND,STOLPTAX,TL01NTAX,TL01PIND,TL01PTAX,TL23NTAX,TL23PIND,TL23PTAX,TL45NTAX,TL45PIND,TL45PTAX,TL67NTAX,TL67PIND,TL67PTAX,TOLRNTAX,TOLRPIND,TOLRPTAX,WTD_TV,HPRIME,DOM1PIND,DOM3PIND,DOM5PIND,CHIRDOM1PIND,CHIRDOM3PIND,CHIRDOM5PIND,TOTLNTAX,TotRich,EphemeropteraRich,EphemeropteraAbun,PlecopteraRich,PlecopteraAbun,TrichopteraRich,TrichopteraAbun,NonInsectRich,NonInsectAbun,ChironRich,ChironAbun,Top3Abun,Top5Abun,TraitRich,Volt_1Rich,Volt_2Rich,Volt_3Rich,Devl_1Rich,Devl_2Rich,Devl_3Rich,Sync_1Rich,Sync_2Rich,Life_1Rich,Life_2Rich,Life_3Rich,Exit_1Rich,Exit_2Rich,Desi_1Rich,Desi_2Rich,Disp_1Rich,Disp_2Rich,Flgt_1Rich,Flgt_2Rich,Drft_1Rich,Drft_2Rich,Drft_3Rich,Crwl_1Rich,Crwl_2Rich,Crwl_3Rich,Swim_1Rich,Swim_2Rich,Swim_3Rich,Atch_1Rich,Atch_2Rich,Armr_1Rich,Armr_2Rich,Armr_3Rich,Shpe_1Rich,Shpe_2Rich,Resp_1Rich,Resp_2Rich,Size_1Rich,Size_2Rich,Size_3Rich,Rheo_1Rich,Rheo_2Rich,Rheo_3Rich,Ther_1Rich,Ther_2Rich,Ther_3Rich,Habi_1Rich,Habi_2Rich,Habi_3Rich,Habi_4Rich,Habi_5Rich,Trop_1Rich,Trop_2Rich,Trop_3Rich,Trop_4Rich,Trop_5Rich,TraitAbun,Volt_1Abun,Volt_2Abun,Volt_3Abun,Devl_1Abun,Devl_2Abun,Devl_3Abun,Sync_1Abun,Sync_2Abun,Life_1Abun,Life_2Abun,Life_3Abun,Exit_1Abun,Exit_2Abun,Desi_1Abun,Desi_2Abun,Disp_1Abun,Disp_2Abun,Flgt_1Abun,Flgt_2Abun,Drft_1Abun,Drft_2Abun,Drft_3Abun,Crwl_1Abun,Crwl_2Abun,Crwl_3Abun,Swim_1Abun,Swim_2Abun,Swim_3Abun,Atch_1Abun,Atch_2Abun,Armr_1Abun,Armr_2Abun,Armr_3Abun,Shpe_1Abun,Shpe_2Abun,Resp_1Abun,Resp_2Abun,Size_1Abun,Size_2Abun,Size_3Abun,Rheo_1Abun,Rheo_2Abun,Rheo_3Abun,Ther_1Abun,Ther_2Abun,Ther_3Abun,Habi_1Abun,Habi_2Abun,Habi_3Abun,Habi_4Abun,Habi_5Abun,Trop_1Abun,Trop_2Abun,Trop_3Abun,Trop_4Abun,Trop_5Abun,PTVlt6tol,PTVlt6tax,PTVgt8tol,PTVgt8tax,Iontol,Iontax,Nutrienttol,Nutrienttax,DOTemptol,DOTemptax,SusSedtol,SusSedtax,Finestol,Finestax,
BDB26124,C,1,0,0,55.5318,22.27,364.7,261.22,493.55,232.33,0,0,112.9,113.8,10.91,10.74,4.82,17.4,70.57,70.11,14,13,13,11,10.37,2.07,65.26,693,284.67,126.26,12.81,115.594,3.65,-15.56,29.14,13.96,0.36,74.7,1.38,2.86,148.26,1998,230,11,48.18,36.67,1,0.36,3.33,16,54.38,53.33,2,0.73,6.67,5,27.74,16.67,5,27.74,16.67,1,0.36,3.33,4,5.47,13.33,0,0,0,1,0.36,3.33,3,36.5,10,0,0,0,2,6.93,6.67,3,27.01,10,75.76,5,12.41,16.67,2,9.85,6.67,10,47.81,33.33,11,33.94,36.67,4,26.28,13.33,3,31.75,10,6,33.58,20,2,6.93,6.67,15,79.56,50,11,51.09,36.67,0,0,0,19,40.51,63.33,6,22.26,20,18,48.54,60,1,4.38,3.33,2,0.73,6.67,8,31.39,26.67,8,16.42,26.67,9,14.96,30,3,5.11,10,3.04,2.38,32.57,57.47,69.73,65.38,90,94.62,30,30,2,2,0,0,3,74,4,15,11,158,155,191,35,7,18,9,15,18,0,2,30,20,8,6,17,17,27,7,18,15,29,2,13,7,13,17,14,3,30,3,1,28,6,24,9,1,3,31,11,23,20,10,4,8,21,5,4,29,1,14,0,7,12,1,18,4,2,8,2,298,35,232,30,169,127,0,2,293,220,35,42,127,170,254,43,68,217,268,15,38,91,156,218,74,5,282,14,1,220,77,201,84,12,50,247,60,237,245,46,6,29,238,30,123,173,1,154,0,21,110,12,183,28,49,35,2,3.904761905,18,8,1,5.600768049,31,6.140552995,31,5.678955453,31,5.530749895,31,6.10921659,31
BDB26125,C,1,0,0,21.0411,26.66,368.08,281.28,493.24,211.96,0,0,114.4,114.7,10.66,10.5,4.52,17.49,69.81,70.69,14,13,13,11,10,2.06,66.06,682.24,282.24,128.76,11.98,116.555,4.73,-27.38,32.38,11.88,0.38,77.39,1.42,2.99,147.34,1998,226,14,76.87,42.42,1,0.71,3.03,18,82.92,54.55,1,4.63,3.03,5,8.54,15.15,4,8.19,12.12,0,0,0,3,3.91,9.09,1,0.36,3.03,1,1.42,3.03,3,6.05,9.09,0,0,0,3,46.98,9.09,3,3.56,9.09,7.87,5,43.06,15.15,2,2.14,6.06,12,35.94,36.36,11,14.23,33.33,8,5.34,24.24,2,10.32,6.06,5,8.9,15.15,3,25.27,9.09,19,78.65,57.58,10,32.03,30.3,0,1.42,0,23,87.19,69.7,2,2.85,6.06,16,25.27,48.48,2,2.49,6.06,0,0,0,8,9.25,24.24,8,16.01,24.24,13,66.55,39.39,6,4.27,18.18,5.38,2.52,30.45,57.52,68.8,38.76,73.21,87.08,33,33,1,13,0,0,3,10,3,11,14,233,153,183,41,8,18,15,24,16,0,4,35,26,8,7,18,23,34,7,19,21,36,2,12,7,21,26,12,3,36,2,3,34,7,30,9,2,7,34,12,29,29,9,3,12,23,6,5,36,0,18,1,7,12,3,24,4,3,9,1,291,17,61,213,249,38,0,15,270,259,14,18,48,243,276,15,55,231,275,5,31,16,239,252,33,6,270,6,15,274,17,266,19,6,23,268,36,255,260,22,9,196,82,13,24,267,0,221,1,24,27,18,242,10,7,31,1,4.26,16,8,1,5.989806548,32,6.587946429,32,5.636532738,32,5.916619318,32,6.411160714,32
BDB27429,C,1,0,0,443.9484,10.22,494.16,312.78,615.87,303.09,0,0,138.8,144.5,13,12.74,6.24,19.03,89,89.86,12,12,11,11.23,9.43,1.94,70.45,755,288.02,110.57,12.31,248.105,1.86,-10.41,23.65,29.5,0.29,82.41,1.35,0.96,230.7,1997,188,5,31.97,13.16,1,0.37,2.63,8,33.83,21.05,8,36.43,21.05,21,54.28,55.26,19,53.53,50,1,1.86,2.63,4,8.55,10.53,2,0.74,5.26,1,5.2,2.63,1,1.49,2.63,4,5.2,10.53,2,23.79,5.26,7,11.9,18.42,4.65,8,34.57,21.05,3,9.29,7.89,13,33.83,34.21,14,14.13,36.84,5,18.96,13.16,4,7.43,10.53,3,10.04,7.89,5,10.04,13.16,25,73.61,65.79,5,3.72,13.16,3,13.01,7.89,19,76.95,50,15,19.7,39.47,30,69.14,78.95,2,1.49,5.26,7,7.43,18.42,14,28.62,36.84,9,33.09,23.68,5,27.88,13.16,3,1.86,7.89,4.24,2.83,28.57,43.92,58.2,65.85,93.9,100,38,38,8,98,4,14,7,32,4,23,5,98,111,140,45,8,25,10,18,23,2,11,31,21,16,7,34,10,38,6,28,15,36,5,22,10,11,17,17,10,26,13,5,38,6,29,13,2,16,28,16,28,21,16,7,8,24,12,6,37,1,10,3,3,22,6,20,5,4,12,3,276,25,116,129,191,57,9,79,177,183,63,25,162,109,252,19,157,111,239,14,92,35,141,140,109,22,154,67,50,243,28,240,27,4,112,159,42,229,160,81,30,111,115,45,47,223,1,110,4,4,100,53,168,28,44,26,5,3.116216216,30,8,2,4.870568783,36,4.379100529,36,5.352843915,36,4.676147186,35,4.536772487,36
BDB27508,C,1,0,0,68.3262,26.6,543.7,332.98,881.76,548.78,0,17.23,130.8,136.3,14.22,13.74,6.49,19.92,95.55,102.38,9.75,10.23,8.91,11.23,10.17,1.9,74.53,797.64,290.42,113.73,10.27,243.593,8.37,-44.59,27.27,35.89,0.23,89.49,1.37,2.33,314.99,1996,171,14,28.95,30.43,0,0,0,17,33.46,36.96,10,24.44,21.74,20,53.38,43.48,20,53.38,43.48,1,0.38,2.17,3,4.14,6.52,0,0,0,1,1.88,2.17,6,5.64,13.04,4,9.77,8.7,2,8.65,4.35,6,19.17,13.04,19.48,6,39.1,13.04,2,15.79,4.35,17,31.58,36.96,14,23.68,30.43,9,17.29,19.57,11,6.77,23.91,6,9.02,13.04,3,2.26,6.52,26,69.17,56.52,13,18.8,28.26,1,2.26,2.17,27,69.55,58.7,13,24.81,28.26,33,62.41,71.74,1,1.88,2.17,4,13.16,8.7,16,30.83,34.78,13,18.42,28.26,9,32.71,19.57,3,2.63,6.52,4.14,3.23,10.93,31.69,47.54,30.77,67.69,80,46,46,10,65,4,26,6,51,3,11,14,84,65,102,60,11,33,14,30,24,3,9,48,36,13,9,36,22,49,9,31,26,49,6,20,15,22,25,26,7,40,16,2,49,9,44,9,5,8,50,16,41,33,18,7,15,32,11,10,47,1,19,0,10,26,3,32,6,4,12,4,261,34,147,78,114,120,20,44,210,136,89,34,176,83,214,45,156,98,220,28,102,72,80,86,135,38,162,90,7,203,56,200,48,11,53,206,54,204,127,100,32,86,93,80,21,219,19,75,0,34,138,12,127,53,27,45,7,3.5,33,8,1,4.862569214,43,5.653266888,43,5.439091916,43,5.602061431,42,6.052380952,43
BDB27570,C,1,0,0,1954.665,16.05,457.58,241.7,957.31,715.61,0,0,99.7,101.8,10.07,9.98,3.59,15.28,62.29,60.94,8.71,9.8,10.42,9.59,8.81,1.95,59.7,668.21,279.93,124.91,11.5,105.962,0.5,-25.99,21.59,27.94,0.24,61.65,1.4,3.23,177.78,1993,203,5,5.02,13.51,0,0,0,8,9.32,21.62,9,27.24,24.32,22,73.84,59.46,22,73.84,59.46,0,0,0,1,1.43,2.7,0,0,0,0,0,0,1,0.36,2.7,2,0.72,5.41,2,1.08,5.41,11,45.88,29.73,7.14,8,43.73,21.62,5,39.78,13.51,11,18.64,29.73,12,29.39,32.43,11,30.11,29.73,4,6.09,10.81,3,3.58,8.11,3,4.3,8.11,27,82.44,72.97,7,7.53,18.92,2,5.38,5.41,21,57.35,56.76,13,40.5,35.14,30,91.04,81.08,1,1.43,2.7,4,4.66,10.81,16,56.27,43.24,10,30.11,27.03,4,6.81,10.81,1,1.43,2.7,3.75,2.97,21.81,38.27,53.09,61.54,84.62,100,37,37,9,76,2,2,11,128,1,4,5,18,93,129,45,6,29,10,17,28,0,11,34,23,18,4,36,9,40,5,26,18,38,6,22,10,12,19,21,5,28,13,4,30,15,30,12,3,11,34,14,31,24,17,4,7,21,17,4,38,3,8,0,7,25,5,16,10,8,10,1,282,42,190,50,73,209,0,55,227,97,147,38,260,22,239,43,230,48,252,26,165,68,45,74,197,11,196,54,32,155,127,217,50,15,70,212,81,201,129,148,5,41,95,146,14,249,19,26,0,22,198,36,89,121,48,19,5,3.589189189,30,8,1,6.207072829,34,5.245518207,34,5.535364146,34,5.16956328,34,4.974229692,34
BDB27572,C,1,0,0,102.8844,13.98,255.53,104,532.5,428.5,0,0,108,113.1,11.01,10.11,4.54,15.63,66.71,69.12,9,9.08,10,9,9,1.84,60.51,717.9,288.58,120.37,11.52,133.938,1.38,-41.88,19.58,29.93,0.22,60.93,1.42,1.76,257.42,1993,207,6,4.7,19.35,1,1.01,3.23,8,6.04,25.81,4,34.9,12.9,12,82.55,38.71,12,82.55,38.71,1,2.01,3.23,4,4.36,12.9,0,0,0,1,0.34,3.23,1,0.34,3.23,1,2.01,3.23,1,3.02,3.23,7,45.64,22.58,7.14,7,65.44,22.58,4,38.26,12.9,7,5.7,22.58,9,27.85,29.03,10,16.78,32.26,3,1.34,9.68,3,1.01,9.68,2,2.35,6.45,23,69.46,74.19,4,2.01,12.9,1,25.17,3.23,20,49.33,64.52,7,44.3,22.58,24,89.26,77.42,1,1.01,3.23,2,2.68,6.45,11,51.68,35.48,11,34.9,35.48,3,4.36,9.68,1,1.01,3.23,3.61,2.36,26.89,65.15,74.24,64.29,78.57,92.86,31,31,4,104,1,6,7,136,4,13,6,15,172,202,37,8,23,6,14,20,2,8,26,14,14,9,27,10,27,10,24,12,28,4,17,9,10,14,16,7,26,6,5,28,9,21,12,4,13,24,13,24,20,10,7,4,20,13,6,31,0,7,0,4,22,4,15,7,8,6,1,299,22,258,19,52,237,9,102,193,117,162,20,280,19,274,25,203,93,219,67,122,81,93,34,174,91,183,35,81,161,138,238,36,25,128,171,34,265,50,228,21,27,55,217,22,277,0,17,0,5,196,81,32,186,57,21,3,3.675862069,24,8,1,5.682777778,30,4.771111111,30,5.397222222,30,5.101724138,29,4.912222222,30
BDB27586,C,1,0,0,626.8275,15.67,291.06,104.51,687.35,582.84,0,0,107.7,109.2,10.86,10.62,4.77,16,65.63,65.96,8.59,8.95,10.06,9.27,8.6,1.84,61.86,709.9,290.97,116.57,11.53,121.909,0.8,-33.31,19.79,30.63,0.22,59.05,1.4,2.38,254.01,1993,222,7,6.16,17.5,1,1.03,2.5,8,7.88,20,9,26.03,22.5,19,63.7,47.5,17,61.99,42.5,2,1.37,5,6,5.48,15,2,1.71,5,1,0.34,2.5,1,0.34,2.5,2,2.4,5,4,2.05,10,6,33.56,15,5.56,7,32.88,17.5,3,24.66,7.5,14,10.96,35,14,28.42,35,11,44.52,27.5,3,2.74,7.5,6,4.11,15,6,5.14,15,22,79.11,55,8,7.19,20,1,5.82,2.5,21,68.49,52.5,12,24.32,30,28,88.36,70,2,3.42,5,3,4.79,7.5,14,39.04,35,11,44.52,27.5,6,5.48,15,3,4.45,7.5,4,3.03,13.75,35.42,52.5,35.29,70.59,88.24,40,40,9,76,2,7,6,98,6,16,7,20,90,137,46,11,28,7,16,27,2,8,36,21,15,10,34,12,39,7,28,17,36,5,25,9,11,16,18,12,26,18,2,38,8,28,14,4,13,33,14,32,20,19,7,11,24,11,4,40,1,14,1,5,24,2,21,6,7,12,0,292,69,206,17,73,214,4,42,246,109,113,70,266,26,225,67,196,89,235,42,141,107,37,64,183,45,193,79,20,190,102,175,105,12,101,191,111,181,120,153,19,51,115,126,4,281,4,25,1,17,225,24,91,92,71,38,0,3.463636364,28,8,2,5.936591479,38,4.622305764,38,5.86716792,38,5.208293461,38,5.034837093,38
BDB27803,C,1,0,0,3753.6507,28.57,646.2,326.92,1428.44,1101.52,0,0,124.7,122,12.71,11.83,5.62,18.35,81.06,79.74,11.74,11.89,11.02,11.53,9.92,1.97,68.09,745.67,282.33,123.13,11.3,154.202,4.37,-39.87,36.1,21.37,0.29,73.08,1.4,4.67,201.42,1996,170,4,5.44,12.12,2,2.04,6.06,6,7.82,18.18,6,11.22,18.18,13,48.3,39.39,11,46.94,33.33,4,21.77,12.12,8,25.17,24.24,2,1.36,6.06,2,1.36,6.06,1,0.34,3.03,1,1.7,3.03,1,1.02,3.03,4,34.01,12.12,6.25,7,45.24,21.21,2,30.27,6.06,10,14.29,30.3,8,15.65,24.24,9,32.65,27.27,5,5.44,15.15,6,13.61,18.18,5,14.63,15.15,16,61.56,48.48,7,11.56,21.21,2,2.04,6.06,19,75.17,57.58,9,17.35,27.27,23,81.63,69.7,1,0.68,3.03,3,3.4,9.09,8,29.59,24.24,12,48.64,36.36,8,17.01,24.24,4,6.8,12.12,4.59,2.87,17.28,39.09,55.97,50,93.75,100,33,34,6,33,1,5,4,100,8,74,4,19,114,160,39,10,20,7,10,21,5,11,22,14,11,13,30,8,26,11,25,13,25,5,21,9,8,9,18,11,24,8,6,30,7,20,14,4,15,23,10,28,16,11,11,7,23,8,5,30,3,9,0,5,20,4,18,5,6,7,2,297,93,130,43,34,192,38,51,207,64,108,96,243,25,175,91,179,89,189,35,156,87,25,34,212,22,220,36,12,157,109,153,77,38,38,230,62,206,106,110,52,43,120,105,13,232,23,28,0,29,203,8,103,96,49,14,6,3.67037037,23,8,1,6.568390805,29,5.211494253,29,5.893678161,29,5.653448276,29,5.667816092,29
BDB28118,C,1,0,0,117.4563,13.15,341.98,165.81,629.08,463.27,0,0,109.9,115.1,10.9,10.47,5.24,16.09,69,72.09,9,9.18,10.13,9.11,9.09,1.8,63.03,710.51,288.09,117.01,11.08,128.194,1.13,-37.54,19.64,31.89,0.23,61.38,1.43,2.64,240.91,1995,213,7,17.6,23.33,0,0,0,9,25.09,30,7,25.47,23.33,15,56.55,50,15,56.55,50,0,0,0,2,11.24,6.67,0,0,0,1,3.75,3.33,3,9.74,10,3,5.24,10,1,0.37,3.33,5,25.84,16.67,55.32,4,26.22,13.33,2,22.85,6.67,12,33.71,40,10,32.58,33.33,7,22.47,23.33,2,11.99,6.67,3,13.86,10,0,0,0,16,66.67,53.33,7,22.1,23.33,3,7.12,10,15,52.43,50,10,26.59,33.33,23,71.54,76.67,2,10.11,6.67,6,7.49,20,9,38.2,30,8,25.84,26.67,2,7.49,6.67,2,10.11,6.67,3.61,2.9,19.72,39.91,52.29,53.33,88.89,95.56,30,30,7,68,3,14,5,69,2,30,7,52,91,126,36,5,26,5,17,18,0,8,27,20,11,5,25,11,31,5,24,11,32,2,14,9,12,14,18,4,22,9,5,30,6,26,8,2,11,25,13,23,19,15,2,2,25,9,9,27,0,8,0,6,16,6,17,4,5,8,2,270,28,221,21,138,122,0,56,204,121,103,46,202,68,222,48,191,59,233,7,126,57,67,100,156,14,164,80,26,201,69,220,28,22,73,197,74,196,118,139,13,25,165,80,52,218,0,55,0,34,135,46,97,67,45,41,20,3.146428571,23,8,2,4.907514881,32,4.349702381,32,4.425967262,32,4.63455267,30,4.361011905,32
BDB28180,C,1,0,0,2.2968,10.53,326.98,276.37,367.44,91.07,0,100,140.4,140.4,14.95,14.92,9.08,21.68,94,94,11,11,9,10,8,1.99,80.31,820.7,302.41,98.59,12.88,287.386,5,-20.84,32.87,37.29,0.25,89.52,1.38,2.96,419.55,1995,212,4,21.43,11.76,1,0.68,2.94,7,25.17,20.59,5,23.13,14.71,16,55.78,47.06,15,55.44,44.12,1,2.04,2.94,5,4.76,14.71,1,0.34,2.94,1,0.68,2.94,1,1.02,2.94,3,11.22,8.82,2,10.88,5.88,7,21.09,20.59,4.76,7,30.95,20.59,4,18.03,11.76,7,14.97,20.59,11,16.33,32.35,9,30.27,26.47,3,17.69,8.82,2,2.38,5.88,3,13.27,8.82,24,86.05,70.59,5,7.14,14.71,2,3.06,5.88,21,69.39,61.76,12,29.59,35.29,27,85.37,79.41,1,1.02,2.94,7,15.31,20.59,12,44.9,35.29,8,25.17,23.53,6,13.61,17.65,1,1.02,2.94,3.73,3.05,10.82,31.34,44.4,44.44,95.24,100,34,34,5,68,3,33,7,62,5,14,4,68,84,119,39,8,24,6,12,23,2,7,29,14,16,8,29,9,29,9,27,10,29,5,21,9,7,11,20,7,25,9,4,29,9,22,10,6,11,27,15,23,17,15,6,5,18,15,5,33,0,7,1,4,23,3,13,7,8,8,2,298,45,152,85,135,133,12,61,217,134,102,46,207,75,227,55,180,99,241,28,99,87,93,116,143,23,190,64,28,217,65,210,54,18,86,196,80,202,163,103,16,77,115,90,14,268,0,75,1,13,165,28,136,64,50,19,13,3.1625,27,8,1,4.590804598,29,4.601149425,29,4.574712644,29,4.403448276,29,4.409195402,29
BDB28228,C,1,0,0,27.1764,17.01,305.51,213.23,477.95,264.72,0,0,141.8,144.5,14.91,14.76,9.05,21.57,78,78.66,10,10,9,10,8,1.92,76.08,834.9,297.98,98.06,11.97,311.764,6.3,-24.25,30.29,28.64,0.26,68.88,1.47,3.44,250.13,2000,165,5,5.44,17.86,2,13.61,7.14,9,17.69,32.14,5,33.67,17.86,9,42.86,32.14,8,42.52,28.57,1,1.02,3.57,4,19.39,14.29,1,0.34,3.57,0,0,0,2,0.68,7.14,0,0,0,1,0.68,3.57,3,8.84,10.71,12.5,6,19.73,21.43,3,8.84,10.71,8,43.88,28.57,7,11.22,25,6,23.13,21.43,3,2.72,10.71,2,0.68,7.14,2,3.06,7.14,17,63.95,60.71,6,16.67,21.43,3,13.61,10.71,17,70.41,60.71,5,9.52,17.86,20,77.55,71.43,2,16.67,7.14,1,0.34,3.57,10,41.5,35.71,9,35.71,32.14,3,2.72,10.71,3,17.01,10.71,4.62,2.7,15.44,43.38,61.03,37.5,87.5,100,28,28,5,99,0,0,3,26,4,57,5,17,118,166,34,9,16,7,14,16,3,11,19,14,9,10,25,8,23,10,22,10,24,3,14,8,10,11,14,8,21,4,8,28,5,20,10,3,12,21,8,25,15,10,8,4,22,7,3,30,0,7,1,3,15,7,15,6,5,5,2,295,63,90,106,145,111,38,104,150,133,55,106,272,22,212,82,246,34,200,37,90,116,74,111,124,59,175,31,88,244,50,177,100,17,140,154,107,187,188,52,54,19,217,58,9,285,0,23,1,11,162,97,174,57,20,31,12,3.896,20,8,2,5.293452381,28,4.658333333,28,5.449404762,28,4.40297619,28,4.816666667,28
BDB28238,C,1,0,0,31.3542,15.54,278.17,204.25,434.35,230.1,0,0,141.2,142.7,15.1,15.05,9.25,21.74,77,77.67,10.09,10.44,9,10,8,1.9,79.08,841.47,300.01,96.86,12.14,309.597,6.39,-19.53,32.82,24.55,0.28,59.85,1.47,3.56,247.83,2000,161,7,10.51,28,2,1.02,8,9,13.9,36,5,40.68,20,8,76.27,32,8,76.27,32,1,2.71,4,4,5.08,16,0,0,0,0,0,0,3,1.69,12,0,0,0,2,2.71,8,3,35.59,12,16.13,6,42.71,24,3,35.59,12,10,33.22,40,5,6.78,20,4,15.25,16,2,3.05,8,1,0.34,4,3,5.76,12,15,83.39,60,8,8.14,32,2,5.08,8,16,85.08,64,4,7.46,16,16,87.46,64,2,1.69,8,0,0,0,8,41.36,32,8,46.1,32,4,5.08,16,2,1.69,8,4.18,2.3,29.55,62.12,69.7,32.26,80.65,93.55,25,25,5,120,0,0,3,105,4,15,7,32,168,193,29,6,14,8,14,12,3,7,20,14,9,6,20,9,23,6,17,11,22,2,13,5,10,13,11,5,21,4,4,23,6,20,6,3,8,21,6,23,15,8,6,6,16,7,3,25,1,8,0,3,14,4,13,6,5,4,1,296,22,159,114,155,132,9,107,186,151,127,18,262,34,278,18,174,118,194,87,72,110,110,139,145,12,170,36,90,175,121,267,17,12,125,171,33,263,149,132,15,39,131,126,5,286,5,23,0,17,164,92,116,119,42,18,1,4.105,16,8,2,5.265333333,25,5.097333333,25,5.866666667,25,4.908,25,5.134666667,25
BDB28252,C,1,0,0,49.4334,11.74,268.85,176.85,623.93,447.08,0,0,136.8,139.4,15.94,15.76,9.07,22.36,78.18,78.95,10,9,8,10,8,1.85,78.86,879.54,299.8,96.45,11.62,317.206,9.68,-19.4,37.61,22.23,0.3,86.4,1.39,3.15,265.03,2000,158,4,2.03,16.67,1,0.68,4.17,6,7.43,25,4,16.22,16.67,9,34.8,37.5,9,34.8,37.5,1,4.05,4.17,4,16.89,16.67,0,0,0,1,0.68,4.17,2,1.01,8.33,0,0,0,1,0.34,4.17,5,18.58,20.83,50,6,26.35,25,3,17.91,12.5,7,15.54,29.17,4,16.89,16.67,8,43.24,33.33,2,0.68,8.33,2,1.35,8.33,2,4.39,8.33,17,77.36,70.83,3,1.69,12.5,2,4.73,8.33,17,78.38,70.83,4,8.78,16.67,18,85.14,75,1,11.49,4.17,1,0.34,4.17,9,57.77,37.5,8,27.03,33.33,3,2.03,12.5,1,11.49,4.17,4.5,2.2,35.96,61.42,77.15,40,80,100,24,24,4,48,0,0,5,55,4,50,4,7,164,207,30,8,15,7,13,14,2,8,20,13,9,8,23,7,22,8,20,9,22,3,13,8,8,12,15,3,22,3,5,22,8,19,7,4,9,21,11,19,17,8,5,3,17,10,4,26,0,7,0,1,17,5,13,7,7,2,1,296,135,109,52,93,189,12,61,231,67,70,159,286,10,137,159,209,53,198,48,52,161,49,89,186,21,212,37,47,226,70,125,124,47,53,243,182,114,212,58,26,3,213,80,7,289,0,10,0,2,205,79,155,76,19,44,2,3.945833333,18,8,1,5.557054674,27,4.85361552,27,5.211199295,27,4.702413019,27,5.004585538,27
BDB28958,C,1,0,0,23.6736,5.59,102.75,65.05,129.05,64,0,100,109.7,109.9,13.11,13.04,7,19.32,70.16,69.42,8,8,8.98,8.98,8,1.76,69.76,788.1,296.39,106.61,11.66,154.516,1,-18,28.13,38.48,0.29,82.24,1.35,1.67,103.72,1994,235,7,24.92,28,0,0,0,10,30.3,40,3,29.29,12,7,49.83,28,6,49.49,24,1,4.38,4,3,13.8,12,1,0.34,4,1,2.02,4,2,1.01,8,0,0,0,1,20.88,4,3,20.2,12,4.05,8,55.22,32,3,20.2,12,7,4.71,28,10,21.55,40,4,25.25,16,2,2.02,8,4,7.41,16,1,1.68,4,15,77.1,60,5,3.03,20,2,5.72,8,15,69.7,60,4,17.17,16,13,61.28,52,1,7.41,4,0,0,0,7,35.35,28,6,25.93,24,7,25.93,28,2,7.74,8,4.42,2.46,30.39,50.98,66.67,84.93,94.52,97.26,25,26,3,87,0,0,3,60,3,41,7,75,145,187,31,7,16,8,15,14,1,6,24,16,8,7,19,12,27,4,19,11,24,4,14,6,10,14,12,5,25,4,2,24,7,22,6,3,4,27,13,17,20,8,3,6,16,9,3,27,0,10,0,4,14,3,11,9,3,8,0,297,25,190,82,179,99,13,48,243,161,89,47,200,97,258,39,184,91,241,15,150,34,91,112,142,43,187,93,17,226,71,242,19,36,87,210,69,227,136,142,19,124,85,88,4,280,0,93,0,6,159,39,84,100,71,42,0,4.111111111,13,8,1,5.517619048,25,6.173904762,25,6.088095238,25,5.898606061,25,5.764952381,25
